url,title,company,location,posted,job_type,salary,description,category,scraped_at
https://itjobpro.com/job/application-developer-12/,Application Developer,Gallagher,Bogota,Posted 4 days ago,Full Time,"{""@context"":""https://schema.org"",""@type"":""JobPosting"",""title"":""Application Developer"",""description"":""IntroductionWelcome to Gallagher - a global community of people who bring bold ideas, deep expertise, and a shared commitment to doing what’s right. We help clients navigate complexity with confidence by empowering businesses, communities, and individuals to thrive. At Gallagher, you’ll find more than a job; you’ll find a culture built on trust, driven by collaboration, and sustained by the belief that we’re better together. Whether you join us in a client-facing role or as part of our brokerage division,…"",""datePosted"":""2026-02-19T12:50:14+00:00"",""employmentType"":""FULL_TIME"",""directApply"":false,""hiringOrganization"":{""@type"":""Organization"",""name"":""Gallagher"",""sameAs"":""https://itjobpro.com/"",""logo"":""https://itjobpro.com/wp-content/uploads/2025/08/IT-Job-Pro-Featured-Alert.png""},""identifier"":{""@type"":""PropertyValue"",""name"":""ITJobPro"",""value"":""23920_47774""},""url"":""https://itjobpro.com/job/application-developer-12/"",""validThrough"":""2026-03-14T00:00:00+00:00"",""jobLocation"":[{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Main street"",""addressLocality"":""Bogota"",""addressCountry"":""Colombia""}}],""baseSalary"":{""@type"":""MonetaryAmount"",""currency"":""USD"",""value"":{""@type"":""QuantitativeValue"",""value"":150000,""unitText"":""YEAR""}}}",,SEO,2026-02-23T19:54:50.887729
https://itjobpro.com/job/application-ux-ui-developer/,Application UX/UI Developer,Gallagher,Bogota,Posted 6 days ago,Full Time,"{""@context"":""https://schema.org"",""@type"":""JobPosting"",""title"":""Application UX/UI Developer"",""description"":""IntroductionWelcome to Gallagher - a global community of people who bring bold ideas, deep expertise, and a shared commitment to doing what’s right. We help clients navigate complexity with confidence by empowering businesses, communities, and individuals to thrive. At Gallagher, you’ll find more than a job; you’ll find a culture built on trust, driven by collaboration, and sustained by the belief that we’re better together. Whether you join us in a client-facing role or as part of our brokerage division,…"",""datePosted"":""2026-02-17T09:04:40+00:00"",""employmentType"":""FULL_TIME"",""directApply"":false,""hiringOrganization"":{""@type"":""Organization"",""name"":""Gallagher"",""sameAs"":""https://itjobpro.com/"",""logo"":""https://itjobpro.com/wp-content/uploads/2025/08/IT-Job-Pro-Featured-Alert.png""},""identifier"":{""@type"":""PropertyValue"",""name"":""ITJobPro"",""value"":""23920_47774""},""url"":""https://itjobpro.com/job/application-ux-ui-developer/"",""validThrough"":""2026-03-14T00:00:00+00:00"",""jobLocation"":[{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Main street"",""addressLocality"":""Bogota"",""addressCountry"":""Colombia""}}],""baseSalary"":{""@type"":""MonetaryAmount"",""currency"":""USD"",""value"":{""@type"":""QuantitativeValue"",""value"":150000,""unitText"":""YEAR""}}}",,SEO,2026-02-23T19:54:52.880973
https://itjobpro.com/job/controls-systems-engineer/,Controls Systems Engineer,Johnson Controls,Phoenix AZ,Posted 1 week ago,Full Time,"{""@context"":""https://schema.org"",""@type"":""JobPosting"",""title"":""Controls Systems Engineer"",""description"":""Build your best future with the Johnson Controls team As a global leader in smart, healthy and sustainable buildings, our mission is to reimagine the performance of buildings to serve people, places and the planet.  Join a winning team that enables you to build your best future! Our teams are uniquely positioned to support a multitude of industries across the globe. You will have the opportunity to develop yourself through meaningful work projects and learning opportunities. We strive to provide our…"",""datePosted"":""2026-02-15T14:20:25+00:00"",""employmentType"":""FULL_TIME"",""directApply"":false,""hiringOrganization"":{""@type"":""Organization"",""name"":""Johnson Controls"",""sameAs"":""https://itjobpro.com/"",""logo"":""https://itjobpro.com/wp-content/uploads/2025/08/IT-Job-Pro-Featured-Alert.png""},""identifier"":{""@type"":""PropertyValue"",""name"":""ITJobPro"",""value"":""22413_WD30260090""},""url"":""https://itjobpro.com/job/controls-systems-engineer/"",""validThrough"":""2026-03-13T00:00:00+00:00"",""jobLocation"":[{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Main street"",""addressLocality"":""Phoenix"",""addressRegion"":""AZ"",""postalCode"":""85003"",""addressCountry"":""US""}}],""baseSalary"":{""@type"":""MonetaryAmount"",""currency"":""USD"",""value"":{""@type"":""QuantitativeValue"",""value"":150000,""unitText"":""YEAR""}}}",,SEO,2026-02-23T19:54:54.065436
https://itjobpro.com/job/data-center-project-assistant-critical-projects-implementation/,"Data Center Project Assistant, Critical Projects Implementation","Amazon Data Services, Inc.",Boardman OR,Posted 2 weeks ago,Full Time,"{""@context"":""https://schema.org"",""@type"":""JobPosting"",""title"":""Data Center Project Assistant, Critical Projects Implementation"",""description"":""We are currently seeking an Administrative Assistant to serve as support to our Data Center Project Engineers. Ideal candidates will partner with multiple Data Center Project Engineers to handle administrative tasks freeing up their time to focus on organizational goals. A quick thinker, your flexibility and adaptability are key to constantly changing demands and priorities. You will frequently find yourself in the center of everything that happens on the team. You are pivotal to the success of a well-run, efficient,…"",""datePosted"":""2026-02-12T13:38:16+00:00"",""employmentType"":""FULL_TIME"",""directApply"":false,""hiringOrganization"":{""@type"":""Organization"",""name"":""Amazon Data Services, Inc."",""sameAs"":""https://itjobpro.com/"",""logo"":""https://itjobpro.com/wp-content/uploads/2025/08/IT-Job-Pro-Featured-Alert.png""},""identifier"":{""@type"":""PropertyValue"",""name"":""ITJobPro"",""value"":""17359_3115768""},""url"":""https://itjobpro.com/job/data-center-project-assistant-critical-projects-implementation/"",""validThrough"":""2026-03-09T00:00:00+00:00"",""jobLocation"":[{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Main street"",""addressLocality"":""Boardman"",""addressRegion"":""OR"",""postalCode"":""97818"",""addressCountry"":""US""}}],""baseSalary"":{""@type"":""MonetaryAmount"",""currency"":""USD"",""value"":{""@type"":""QuantitativeValue"",""value"":150000,""unitText"":""YEAR""}}}",,SEO,2026-02-23T19:54:55.313711
https://itjobpro.com/job/jde-developer-4/,JDE Developer,G&W Electric,Bolingbrook IL,Posted 2 weeks ago,Full Time,"{""@context"":""https://schema.org"",""@type"":""JobPosting"",""title"":""JDE Developer"",""description"":""JDE Developer This position is responsible for evaluating business requirements, designing, developing, maintaining ERP and Integration solutions to meet the evolving needs of our organization. You will collaborate closely with stakeholders, business analysts, architects, and other IT professionals to deliver high-quality business solutions that drive operational efficiency and business growth. As a JDE Developer you will: Collaborate with stakeholders to understand business requirements and translate them into technical specifications and solution designs that align with ERP best practices and development…"",""datePosted"":""2026-02-11T14:52:54+00:00"",""employmentType"":""FULL_TIME"",""directApply"":false,""hiringOrganization"":{""@type"":""Organization"",""name"":""G&W Electric"",""sameAs"":""https://itjobpro.com/"",""logo"":""https://itjobpro.com/wp-content/uploads/2025/08/IT-Job-Pro-Featured-Alert.png""},""identifier"":{""@type"":""PropertyValue"",""name"":""ITJobPro"",""value"":""13318_2052790626""},""url"":""https://itjobpro.com/job/jde-developer-4/"",""validThrough"":""2026-03-07T00:00:00+00:00"",""jobLocation"":[{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Main street"",""addressLocality"":""Bolingbrook"",""addressRegion"":""IL"",""postalCode"":""60440"",""addressCountry"":""US""}}],""baseSalary"":{""@type"":""MonetaryAmount"",""currency"":""USD"",""value"":{""@type"":""QuantitativeValue"",""value"":150000,""unitText"":""YEAR""}}}",,SEO,2026-02-23T19:54:56.471026
https://itjobpro.com/job/jde-developer-5/,JDE Developer,G&W Electric,Chicago IL,Posted 2 weeks ago,Full Time,"{""@context"":""https://schema.org"",""@type"":""JobPosting"",""title"":""JDE Developer"",""description"":""JDE Developer This position is responsible for evaluating business requirements, designing, developing, maintaining ERP and Integration solutions to meet the evolving needs of our organization. You will collaborate closely with stakeholders, business analysts, architects, and other IT professionals to deliver high-quality business solutions that drive operational efficiency and business growth. As a JDE Developer you will: Collaborate with stakeholders to understand business requirements and translate them into technical specifications and solution designs that align with ERP best practices and development…"",""datePosted"":""2026-02-11T14:38:33+00:00"",""employmentType"":""FULL_TIME"",""directApply"":false,""hiringOrganization"":{""@type"":""Organization"",""name"":""G&W Electric"",""sameAs"":""https://itjobpro.com/"",""logo"":""https://itjobpro.com/wp-content/uploads/2025/08/IT-Job-Pro-Featured-Alert.png""},""identifier"":{""@type"":""PropertyValue"",""name"":""ITJobPro"",""value"":""13318_2052790626-354c792ad029085182fe74a2712da961""},""url"":""https://itjobpro.com/job/jde-developer-5/"",""validThrough"":""2026-03-07T00:00:00+00:00"",""jobLocation"":[{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Main street"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60290"",""addressCountry"":""US""}}],""baseSalary"":{""@type"":""MonetaryAmount"",""currency"":""USD"",""value"":{""@type"":""QuantitativeValue"",""value"":150000,""unitText"":""YEAR""}}}",,SEO,2026-02-23T19:54:57.605411
https://itjobpro.com/job/jde-developer-7/,JDE Developer,G&W Electric,Naperville IL,Posted 2 weeks ago,Full Time,"{""@context"":""https://schema.org"",""@type"":""JobPosting"",""title"":""JDE Developer"",""description"":""JDE Developer This position is responsible for evaluating business requirements, designing, developing, maintaining ERP and Integration solutions to meet the evolving needs of our organization. You will collaborate closely with stakeholders, business analysts, architects, and other IT professionals to deliver high-quality business solutions that drive operational efficiency and business growth. As a JDE Developer you will: Collaborate with stakeholders to understand business requirements and translate them into technical specifications and solution designs that align with ERP best practices and development…"",""datePosted"":""2026-02-11T12:29:49+00:00"",""employmentType"":""FULL_TIME"",""directApply"":false,""hiringOrganization"":{""@type"":""Organization"",""name"":""G&W Electric"",""sameAs"":""https://itjobpro.com/"",""logo"":""https://itjobpro.com/wp-content/uploads/2025/08/IT-Job-Pro-Featured-Alert.png""},""identifier"":{""@type"":""PropertyValue"",""name"":""ITJobPro"",""value"":""13318_2052790626-871ce2e00eb5c6e4fea8d24a9b018fd9""},""url"":""https://itjobpro.com/job/jde-developer-7/"",""validThrough"":""2026-03-07T00:00:00+00:00"",""jobLocation"":[{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Main street"",""addressLocality"":""Naperville"",""addressRegion"":""IL"",""postalCode"":""60564"",""addressCountry"":""US""}}],""baseSalary"":{""@type"":""MonetaryAmount"",""currency"":""USD"",""value"":{""@type"":""QuantitativeValue"",""value"":150000,""unitText"":""YEAR""}}}",,SEO,2026-02-23T19:54:58.942441
https://itjobpro.com/job/jde-developer-2/,JDE Developer,G&W Electric,Joliet IL,Posted 2 weeks ago,Full Time,"{""@context"":""https://schema.org"",""@type"":""JobPosting"",""title"":""JDE Developer"",""description"":""JDE Developer This position is responsible for evaluating business requirements, designing, developing, maintaining ERP and Integration solutions to meet the evolving needs of our organization. You will collaborate closely with stakeholders, business analysts, architects, and other IT professionals to deliver high-quality business solutions that drive operational efficiency and business growth. As a JDE Developer you will: Collaborate with stakeholders to understand business requirements and translate them into technical specifications and solution designs that align with ERP best practices and development…"",""datePosted"":""2026-02-11T11:52:03+00:00"",""employmentType"":""FULL_TIME"",""directApply"":false,""hiringOrganization"":{""@type"":""Organization"",""name"":""G&W Electric"",""sameAs"":""https://itjobpro.com/"",""logo"":""https://itjobpro.com/wp-content/uploads/2025/08/IT-Job-Pro-Featured-Alert.png""},""identifier"":{""@type"":""PropertyValue"",""name"":""ITJobPro"",""value"":""13318_2052790626-1d72cc8c92ca19d12f7a47dbee3c92d6""},""url"":""https://itjobpro.com/job/jde-developer-2/"",""validThrough"":""2026-03-07T00:00:00+00:00"",""jobLocation"":[{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Main street"",""addressLocality"":""Joliet"",""addressRegion"":""IL"",""postalCode"":""60432"",""addressCountry"":""US""}}],""baseSalary"":{""@type"":""MonetaryAmount"",""currency"":""USD"",""value"":{""@type"":""QuantitativeValue"",""value"":150000,""unitText"":""YEAR""}}}",,SEO,2026-02-23T19:55:00.587880
https://itjobpro.com/job/jde-developer/,JDE Developer,G&W Electric,Westmont IL,Posted 2 weeks ago,Full Time,"{""@context"":""https://schema.org"",""@type"":""JobPosting"",""title"":""JDE Developer"",""description"":""JDE Developer This position is responsible for evaluating business requirements, designing, developing, maintaining ERP and Integration solutions to meet the evolving needs of our organization. You will collaborate closely with stakeholders, business analysts, architects, and other IT professionals to deliver high-quality business solutions that drive operational efficiency and business growth. As a JDE Developer you will: Collaborate with stakeholders to understand business requirements and translate them into technical specifications and solution designs that align with ERP best practices and development…"",""datePosted"":""2026-02-11T10:28:11+00:00"",""employmentType"":""FULL_TIME"",""directApply"":false,""hiringOrganization"":{""@type"":""Organization"",""name"":""G&W Electric"",""sameAs"":""https://itjobpro.com/"",""logo"":""https://itjobpro.com/wp-content/uploads/2025/08/IT-Job-Pro-Featured-Alert.png""},""identifier"":{""@type"":""PropertyValue"",""name"":""ITJobPro"",""value"":""13318_2052790626-571099e10250bf7f8de8a6d9710a56dd""},""url"":""https://itjobpro.com/job/jde-developer/"",""validThrough"":""2026-03-07T00:00:00+00:00"",""jobLocation"":[{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Main street"",""addressLocality"":""Westmont"",""addressRegion"":""IL"",""postalCode"":""60559"",""addressCountry"":""US""}}],""baseSalary"":{""@type"":""MonetaryAmount"",""currency"":""USD"",""value"":{""@type"":""QuantitativeValue"",""value"":150000,""unitText"":""YEAR""}}}",,SEO,2026-02-23T19:55:02.014535
https://itjobpro.com/job/jde-developer-3/,JDE Developer,G&W Electric,Woodridge IL,Posted 2 weeks ago,Full Time,"{""@context"":""https://schema.org"",""@type"":""JobPosting"",""title"":""JDE Developer"",""description"":""JDE Developer This position is responsible for evaluating business requirements, designing, developing, maintaining ERP and Integration solutions to meet the evolving needs of our organization. You will collaborate closely with stakeholders, business analysts, architects, and other IT professionals to deliver high-quality business solutions that drive operational efficiency and business growth. As a JDE Developer you will: Collaborate with stakeholders to understand business requirements and translate them into technical specifications and solution designs that align with ERP best practices and development…"",""datePosted"":""2026-02-11T08:03:24+00:00"",""employmentType"":""FULL_TIME"",""directApply"":false,""hiringOrganization"":{""@type"":""Organization"",""name"":""G&W Electric"",""sameAs"":""https://itjobpro.com/"",""logo"":""https://itjobpro.com/wp-content/uploads/2025/08/IT-Job-Pro-Featured-Alert.png""},""identifier"":{""@type"":""PropertyValue"",""name"":""ITJobPro"",""value"":""13318_2052790626-5a7d5206a483e6aa11ef581ff6cb63a2""},""url"":""https://itjobpro.com/job/jde-developer-3/"",""validThrough"":""2026-03-07T00:00:00+00:00"",""jobLocation"":[{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Main street"",""addressLocality"":""Woodridge"",""addressRegion"":""IL"",""postalCode"":""60517"",""addressCountry"":""US""}}],""baseSalary"":{""@type"":""MonetaryAmount"",""currency"":""USD"",""value"":{""@type"":""QuantitativeValue"",""value"":150000,""unitText"":""YEAR""}}}",,SEO,2026-02-23T19:55:03.399653
https://itjobpro.com/job/jde-developer-6/,JDE Developer,G&W Electric,Aurora IL,Posted 2 weeks ago,Full Time,"{""@context"":""https://schema.org"",""@type"":""JobPosting"",""title"":""JDE Developer"",""description"":""JDE Developer This position is responsible for evaluating business requirements, designing, developing, maintaining ERP and Integration solutions to meet the evolving needs of our organization. You will collaborate closely with stakeholders, business analysts, architects, and other IT professionals to deliver high-quality business solutions that drive operational efficiency and business growth. As a JDE Developer you will: Collaborate with stakeholders to understand business requirements and translate them into technical specifications and solution designs that align with ERP best practices and development…"",""datePosted"":""2026-02-11T06:33:35+00:00"",""employmentType"":""FULL_TIME"",""directApply"":false,""hiringOrganization"":{""@type"":""Organization"",""name"":""G&W Electric"",""sameAs"":""https://itjobpro.com/"",""logo"":""https://itjobpro.com/wp-content/uploads/2025/08/IT-Job-Pro-Featured-Alert.png""},""identifier"":{""@type"":""PropertyValue"",""name"":""ITJobPro"",""value"":""13318_2052790626-7b22284f8b15d563e26c774de92c8ed6""},""url"":""https://itjobpro.com/job/jde-developer-6/"",""validThrough"":""2026-03-07T00:00:00+00:00"",""jobLocation"":[{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Main street"",""addressLocality"":""Aurora"",""addressRegion"":""IL"",""postalCode"":""60505"",""addressCountry"":""US""}}],""baseSalary"":{""@type"":""MonetaryAmount"",""currency"":""USD"",""value"":{""@type"":""QuantitativeValue"",""value"":150000,""unitText"":""YEAR""}}}",,SEO,2026-02-23T19:55:06.990770
https://itjobpro.com/job/senior-project-manager-13/,Senior Project Manager,Goodwin Recruiting,Hyattsville MD,Posted 2 weeks ago,Full Time,"{""@context"":""https://schema.org"",""@type"":""JobPosting"",""title"":""Senior Project Manager"",""description"":""We are seeking an experienced Senior Project Manager to oversee large-scale transportation and electrical infrastructure projects throughout the region. The Project Manager will be responsible for all aspects of project execution, ensuring safety, quality, schedule, and budget performance, while maintaining strong communication with clients, subcontractors, and internal teams. The ideal candidate will have experience managing civil and electrical construction projects involving DOT, municipal, or utility clients and the ability to lead multidisciplinary teams in fast-paced environments.Responsibilities:Manage all phases of assigned…"",""datePosted"":""2026-02-07T10:45:28+00:00"",""employmentType"":""FULL_TIME"",""directApply"":false,""hiringOrganization"":{""@type"":""Organization"",""name"":""Goodwin Recruiting"",""sameAs"":""https://itjobpro.com/"",""logo"":""https://itjobpro.com/wp-content/uploads/2025/08/IT-Job-Pro-Featured-Alert.png""},""identifier"":{""@type"":""PropertyValue"",""name"":""ITJobPro"",""value"":""26774_JN -012026-169898""},""url"":""https://itjobpro.com/job/senior-project-manager-13/"",""validThrough"":""2026-03-06T00:00:00+00:00"",""jobLocation"":[{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Main street"",""addressLocality"":""Hyattsville"",""addressRegion"":""MD"",""postalCode"":""20781"",""addressCountry"":""US""}}],""baseSalary"":{""@type"":""MonetaryAmount"",""currency"":""USD"",""value"":{""@type"":""QuantitativeValue"",""value"":150000,""unitText"":""YEAR""}}}",,SEO,2026-02-23T19:55:07.909963
https://itjobpro.com/job/maximus-princeton-nj-6-vice-president-digital-creative-experience/,Vice President – Digital – Creative Experience,Maximus,"Princeton, NJ",Posted 2 weeks ago,Full Time,,,SEO,2026-02-23T19:55:08.804509
